skills/dates,C++,Python,VLSI design,PCB,Circuit Design,Hardware Design,ASIC,SOC,Test Automation,PCIE
2022-10-01,5,8,4,3,5,6,6,9,3,3
2022-10-02,3,3,7,4,5,4,7,7,9,8
2022-10-03,4,6,5,9,1,4,2,2,3,1
2022-10-04,2,5,4,7,2,8,8,8,9,1
2022-10-05,1,4,8,5,8,7,2,1,7,9
2022-10-06,8,7,9,7,3,1,2,1,9,4
2022-10-07,8,7,1,8,3,9,8,6,3,2
2022-10-08,9,4,6,6,8,8,7,9,2,4
2022-10-09,6,7,1,1,2,7,8,3,9,7
2022-10-10,5,1,3,1,8,9,4,4,7,9
2022-10-11,7,5,5,3,3,1,4,8,8,6
2022-10-12,9,7,4,6,4,5,6,3,8,5
2022-10-13,9,3,1,1,3,3,9,2,1,4
2022-10-14,2,4,5,1,4,5,3,6,1,9
2022-10-15,8,6,1,2,1,4,1,4,5,7
2022-10-16,5,4,2,1,2,1,1,5,9,4
2022-10-17,5,6,1,2,1,9,9,5,6,9
2022-10-18,6,7,8,4,3,5,2,2,8,8
2022-10-19,4,8,7,9,1,9,6,9,9,9
2022-10-20,5,7,3,5,9,9,8,1,5,8
2022-10-21,1,1,2,9,6,4,5,3,9,6
2022-10-22,8,4,5,2,7,1,4,6,4,4
2022-10-23,1,1,1,2,3,8,1,1,9,8
2022-10-24,1,5,6,2,9,3,3,3,5,1
2022-10-25,5,4,9,8,1,9,7,3,8,6
2022-10-26,5,6,1,9,1,2,5,2,4,9
2022-10-27,1,6,4,8,6,1,2,7,5,1
2022-10-28,4,5,1,9,7,7,6,5,5,1
2022-10-29,9,5,4,5,4,6,4,4,2,6
2022-10-30,3,6,7,4,2,5,5,2,8,5
2022-10-31,1,5,2,2,3,1,5,2,6,4
2022-11-01,4,6,4,5,6,5,4,7,5,4
2022-11-02,7,1,5,5,9,4,8,5,8,9
2022-11-03,8,8,9,7,8,5,3,6,2,8
